68;5;true;49947;16;0.125;0.3125;0.0625;0.25;0.25;0.0;0.375;0.625;false;57244
51;1;true;46659;47;0.10638298;0.08510638;0.17021276;0.23404256;0.14893617;0.25531915;0.27659574;0.5106383;false;87609
118;4;false;55975;1;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;true;1406
259;5;false;34656;13;0.07692308;0.46153846;0.23076923;0.15384616;0.0;0.07692308;0.46153846;0.61538464;false;25294
110;3;true;3409;40;0.275;0.15;0.15;0.15;0.15;0.125;0.35;0.975;false;78447
81;5;true;66771;47;0.14893617;0.17021276;0.21276596;0.14893617;0.17021276;0.14893617;0.40425533;0.29787233;false;91140
82;4;true;64825;25;0.04;0.08;0.24;0.2;0.28;0.16;0.44;0.36;false;90841
459;4;true;46830;47;0.19148937;0.19148937;0.17021276;0.06382979;0.25531915;0.12765957;0.42553192;0.5531915;false;87992
488;5;true;24794;18;0.2777778;0.22222222;0.16666667;0.11111111;0.22222222;0.0;0.33333334;0.8888889;false;26126
318;1;false;79370;5;0.0;0.4;0.0;0.4;0.0;0.2;0.6;0.4;false;7702
185;3;true;55946;39;0.17948718;0.17948718;0.025641026;0.25641027;0.12820514;0.23076923;0.20512821;0.4871795;false;92674
203;3;true;40683;10;0.4;0.2;0.1;0.2;0.0;0.1;0.4;0.9;true;39849
456;2;true;45111;8;0.125;0.125;0.125;0.375;0.25;0.0;0.25;0.625;false;15105
325;4;false;47379;19;0.10526316;0.05263158;0.15789473;0.21052632;0.2631579;0.21052632;0.31578946;0.57894737;false;5362
442;1;false;17167;27;0.037037037;0.18518518;0.18518518;0.25925925;0.22222222;0.11111111;0.4074074;0.9259259;false;88491
443;4;true;93532;45;0.15555556;0.17777778;0.22222222;0.17777778;0.13333334;0.13333334;0.2888889;0.06666667;true;91211
19;0;false;2593;25;0.28;0.2;0.08;0.16;0.08;0.2;0.44;0.96;false;95020
202;2;false;11444;33;0.24242425;0.15151516;0.060606062;0.18181819;0.09090909;0.27272728;0.3939394;0.969697;false;77589
66;2;false;26075;45;0.11111111;0.2888889;0.13333334;0.24444444;0.08888889;0.13333334;0.4;0.75555557;false;82092
385;3;false;8642;44;0.25;0.1590909;0.13636364;0.1590909;0.13636364;0.1590909;0.4318182;0.95454544;false;90100
345;1;true;9173;16;0.1875;0.3125;0.1875;0.0625;0.0625;0.1875;0.3125;1.0;false;6020
319;3;true;15061;10;0.2;0.3;0.0;0.3;0.2;0.0;0.4;0.9;false;36145
304;1;true;50833;41;0.2195122;0.048780486;0.34146342;0.09756097;0.12195122;0.17073171;0.41463414;0.6097561;false;95506
136;2;true;94293;13;0.23076923;0.30769232;0.23076923;0.07692308;0.07692308;0.07692308;0.30769232;0.15384616;false;58296
145;0;false;68725;45;0.2;0.11111111;0.26666668;0.2;0.13333334;0.08888889;0.22222222;0.31111112;false;47164
51;4;true;26685;35;0.14285715;0.14285715;0.17142858;0.2;0.22857143;0.114285715;0.42857143;0.8;false;85508
131;1;true;31384;47;0.23404256;0.12765957;0.12765957;0.06382979;0.21276596;0.23404256;0.23404256;0.65957445;false;76563
204;5;false;71431;27;0.2962963;0.25925925;0.14814815;0.14814815;0.037037037;0.11111111;0.2962963;0.4814815;false;69192
318;1;false;54745;46;0.1521739;0.17391305;0.1521739;0.2826087;0.13043478;0.10869565;0.3478261;0.39130434;false;94208
279;1;false;45064;28;0.10714286;0.21428572;0.25;0.14285715;0.10714286;0.17857143;0.60714287;0.5714286;false;80382
34;4;true;39994;13;0.23076923;0.15384616;0.07692308;0.0;0.46153846;0.07692308;0.46153846;0.61538464;false;83113
32;4;false;10287;21;0.04761905;0.23809524;0.14285715;0.33333334;0.1904762;0.04761905;0.2857143;1.0;false;7485
125;3;false;66160;42;0.16666667;0.26190478;0.11904762;0.14285715;0.14285715;0.16666667;0.2857143;0.26190478;false;71772
